library,keyword_phrase
deception,lie
deception,lied
deception,lying
deception,misrepresent
deception,misrepresented
deception,misrepresenting
deception,hide
deception,hidden
deception,hiding
deception,cheat
deception,cheated
deception,cheating
deception,cheats
deception,cheater
deception,dishonest
deception,dishonesty
deception,dishonestly
deception,deceptive
deception,deception
deception,deceive
deception,decieve
deception,decieving
deception,deceiving
deception,deceived
deception,decieved
rude,yell
rude,yelled
rude,yelling
rude,scream
rude,screamed
rude,screaming
rude,rude
rude,rudely
rude,rudest
rude,hung up on me
rude,hang up on me
rude,curse
rude,cursed
rude,swear at
rude,swears at
rude,swearing at
rude,swore at
rude,slam
rude,slammed
rude,slamming
